[2026-07-27T16:01:31.963Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-27T16:01:31.964Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-27T16:01:31.964Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-27T16:01:31.964Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-27T16:01:31.965Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-27T16:01:31.965Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-27T16:01:31.965Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-27T16:01:31.965Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-27T16:01:31.965Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-27T16:01:31.967Z] [INFO] Daemon started (PID: 2756, CPUs: 12, workers: 7, maxCpuLoad: 9.600000000000001, minFreeMemoryPercent: 10%)
[2026-07-27T16:01:31.969Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T16:01:31.970Z] [INFO] Worker map completed in 2ms
[2026-07-27T16:03:31.980Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T16:03:31.980Z] [INFO] Worker audit completed in 2ms
[2026-07-27T16:05:31.981Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T16:05:31.981Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T16:07:31.973Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T16:07:31.974Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T16:07:31.974Z] [INFO] Worker consolidate completed in 2ms
[2026-07-27T16:09:31.971Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T16:09:31.972Z] [INFO] Worker testgaps completed in 3ms
[2026-07-27T16:11:31.969Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-27T16:11:31.970Z] [INFO] Worker backup completed in 3ms
[2026-07-27T16:13:31.974Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-27T16:13:31.982Z] [INFO] Worker harness completed in 9ms
[2026-07-27T16:13:31.985Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T16:13:31.985Z] [INFO] Worker audit completed in 2ms
[2026-07-27T16:16:31.975Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T16:16:31.976Z] [INFO] Worker map completed in 2ms
[2026-07-27T16:20:32.012Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T16:20:32.012Z] [INFO] Worker optimize completed in 26ms
[2026-07-27T16:23:31.989Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T16:23:31.989Z] [INFO] Worker audit completed in 2ms
[2026-07-27T16:29:31.978Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T16:29:31.978Z] [INFO] Worker testgaps completed in 2ms
[2026-07-27T16:31:31.988Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T16:31:31.989Z] [INFO] Worker map completed in 2ms
[2026-07-27T16:33:31.996Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T16:33:31.996Z] [INFO] Worker audit completed in 2ms
[2026-07-27T16:35:32.027Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T16:35:32.028Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T16:37:31.978Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T16:37:31.978Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T16:37:31.978Z] [INFO] Worker consolidate completed in 2ms
[2026-07-27T16:43:32.010Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T16:43:32.011Z] [INFO] Worker audit completed in 2ms
[2026-07-27T16:46:32.000Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T16:46:32.000Z] [INFO] Worker map completed in 2ms
[2026-07-27T16:49:31.988Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T16:49:31.988Z] [INFO] Worker testgaps completed in 1ms
[2026-07-27T16:50:32.036Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T16:50:32.037Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T16:53:32.021Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T16:53:32.021Z] [INFO] Worker audit completed in 2ms
[2026-07-27T17:01:32.012Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T17:01:32.012Z] [INFO] Worker map completed in 3ms
[2026-07-27T17:03:32.030Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T17:03:32.031Z] [INFO] Worker audit completed in 3ms
[2026-07-27T17:05:32.050Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T17:05:32.050Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T17:07:32.008Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T17:07:32.008Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T17:07:32.008Z] [INFO] Worker consolidate completed in 26ms
[2026-07-27T17:09:32.005Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T17:09:32.006Z] [INFO] Worker testgaps completed in 2ms
[2026-07-27T17:13:32.042Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T17:13:32.042Z] [INFO] Worker audit completed in 2ms
[2026-07-27T17:16:32.021Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T17:16:32.021Z] [INFO] Worker map completed in 2ms
[2026-07-27T17:20:32.062Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T17:20:32.062Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T17:23:32.051Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T17:23:32.051Z] [INFO] Worker audit completed in 2ms
[2026-07-27T17:29:32.015Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T17:29:32.015Z] [INFO] Worker testgaps completed in 2ms
[2026-07-27T17:31:32.034Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T17:31:32.034Z] [INFO] Worker map completed in 2ms
[2026-07-27T17:33:32.056Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T17:33:32.056Z] [INFO] Worker audit completed in 2ms
[2026-07-27T17:35:32.078Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T17:35:32.079Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T17:37:32.015Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T17:37:32.016Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T17:37:32.016Z] [INFO] Worker consolidate completed in 3ms
[2026-07-27T17:43:32.066Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T17:43:32.066Z] [INFO] Worker audit completed in 2ms
[2026-07-27T17:46:32.052Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T17:46:32.052Z] [INFO] Worker map completed in 3ms
[2026-07-27T17:49:32.025Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T17:49:32.025Z] [INFO] Worker testgaps completed in 2ms
[2026-07-27T17:50:32.100Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T17:50:32.101Z] [INFO] Worker optimize completed in 9ms
[2026-07-27T17:53:32.074Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T17:53:32.074Z] [INFO] Worker audit completed in 2ms
[2026-07-27T18:01:32.060Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T18:01:32.060Z] [INFO] Worker map completed in 2ms
[2026-07-27T18:03:32.100Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T18:03:32.101Z] [INFO] Worker audit completed in 3ms
[2026-07-27T18:05:32.121Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T18:05:32.122Z] [INFO] Worker optimize completed in 3ms
[2026-07-27T18:07:32.033Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-27T18:07:32.033Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-27T18:07:32.034Z] [INFO] Worker consolidate completed in 3ms
[2026-07-27T18:09:32.038Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-27T18:09:32.039Z] [INFO] Worker testgaps completed in 4ms
[2026-07-27T18:13:32.106Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-27T18:13:32.107Z] [INFO] Worker audit completed in 2ms
[2026-07-27T18:16:32.075Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-27T18:16:32.075Z] [INFO] Worker map completed in 2ms
[2026-07-27T18:20:32.132Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-27T18:20:32.132Z] [INFO] Worker optimize completed in 2ms
[2026-07-27T18:23:32.117Z] [INFO] Starting worker: audit (1/2 concurrent)
